Temperature,Humidity,Soil_Moisture,Target
25.618101782710436,67.9264685607898,19.256646441930982,ข้าวโพด
34.260714596148745,61.44385465376482,37.0950473689179,ข้าวโพด
30.979909127171076,52.381104651453114,53.647291793820415,ข้าว
28.979877262955547,72.55180078827794,46.61124432047806,ข้าว
22.34027960663655,67.38924690215518,50.328057393072484,ข้าวโพด
22.33991780504304,46.504677573795654,42.93916833553587,ข้าว
20.871254182522993,76.4370873797537,44.613828225892625,ข้าว
32.992642186624025,72.90148971692676,52.459782578265965,ข้าวโพด
29.01672517614813,77.99199653167696,22.483400442959297,ข้าว
30.621088666940683,69.0287803355344,34.47124818215703,อ้อย
20.308767414437035,64.5366078374316,21.060472090980113,อ้อย
34.54864778242992,56.729721451624755,59.38340039983235,อ้อย
32.48663961200633,77.30913933416053,57.202966984330665,อ้อย
23.185086660174143,74.64255558001634,11.971340568425294,ข้าวโพด
22.727374508106507,41.808746804247576,45.27875862578442,ข้าวโพด
22.751067647801506,41.05467897989008,56.26241587078329,ข้าวโพด
24.563633644393065,55.05853467512198,19.028767256366677,อ้อย
27.871346474483566,72.4221332312733,38.39726152763147,อ้อย
26.479175279631736,79.49104517259778,55.774414879402094,ข้าว
24.368437102970628,46.01667564414113,11.697298929289943,ข้าว
29.17779342083569,63.7652286140854,44.871013362342,อ้อย
22.092407909780626,55.23563426524086,24.867450368627537,อ้อย
24.382169728028273,78.79657591258413,56.21980976882652,อ้อย
25.495427649405375,73.68475692542835,58.552912258268385,อ้อย
26.84104976325554,73.53314818844552,57.213324455671696,ข้าว
31.777639420895206,58.74772639179881,33.71071083287319,อ้อย
22.995106732375397,56.592780093506605,53.10213254946567,ข้าว
27.713516576204174,50.93628287722825,52.22746992675352,อ้อย
28.886218532930638,42.25501986603709,25.95502366216278,อ้อย
20.696756190799967,74.58889505020213,51.44577370753387,อ้อย
29.113172778521573,72.51604036520311,11.850381735774631,ข้าว
22.557861855309373,79.98870693144522,39.81349392410265,ข้าว
20.97577389477919,79.86547348295622,21.500441864385152,ข้าวโพด
34.2332830588,62.2172682241051,16.02834428886394,อ้อย
34.484480496118394,70.75949660722043,13.847660081460457,ข้าวโพด
32.125960221746915,77.79062919529713,44.81443879390699,ข้าวโพด
24.56920653760056,73.98589562709645,26.993748188403305,ข้าว
21.46508171009576,49.8939240697279,46.238338576438075,ข้าว
30.263495397682355,58.02176541240374,13.267817039947118,ข้าวโพด
26.60228740609402,45.1663766060598,25.76451689153052,อ้อย
21.83057352267168,78.1620410903489,36.97456461876686,ข้าว
27.427653651669054,64.2469853780352,49.53615824194818,อ้อย
20.515827816728276,49.145712220138506,25.937625146603494,อ้อย
33.639806031181735,66.86802737623427,41.294568821850454,ข้าวโพด
23.881699724000253,64.72512961831583,54.29888741180935,ข้าวโพด
29.937834265309732,54.326508721313616,40.79315940911523,ข้าวโพด
24.675666141341164,44.54230368798516,21.64797373768169,ข้าวโพด
27.801020317667163,66.86292782371198,11.2200390778269,ข้าว
28.200654190149194,60.812308036151734,53.50494369504649,ข้าว
